TOTAL_SECONDS,SNIPPETS,through_put_rows,through_put_size
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,4,25,2200
3,4,4471,1074581
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
1,1,3684,103152
0,1,0,0
0,1,0,0
1,3,23,1012
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,2,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
2,1,0,0
0,1,0,0
1,1,3493,97804
0,1,0,0
1,1,1,8
1,5,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,28
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,793725,38098800
1,3,67003,2680120
4,1,519,10370
1,2,23,368
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,88
0,1,0,0
0,1,0,0
0,2,0,0
2,5,0,0
0,1,0,0
1,2,1,28
0,2,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
1,4,1,12
0,1,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,5,2485,129237
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
7,3,11,1457
3,1,0,3
0,2,0,0
0,2,0,0
0,1,0,0
2,1,275,5490
1,1,16760,804480
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,1,12
0,1,0,0
1,1,3657,73140
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,4,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
114,1,15807,7774965
0,1,0,0
44,1,704561,11272977
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,1,12
0,2,0,0
0,1,0,0
0,1,0,0
1,1,150,11624
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,3,0,0
1,1,9,36
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
10,6,76,7556
6,2,0,4
0,1,0,0
3,1,0,3
0,1,0,0
0,1,0,0
1,1,58,916
1,1,2026,40520
1,1,1,16
4,3,8798,1192791
0,1,0,0
3,3,0,0
0,1,0,0
0,1,0,0
1,1,1,28
1,1,84144,30702252
0,1,0,0
1,5,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,5,1,8
1,1,1,12
1,1,1,12
0,1,0,0
0,1,0,0
1,1,1,12
1,1,1,12
2,1,1,6
46,8,0,0
0,4,0,0
1,2,1,12
43,5,0,0
0,1,0,0
0,3,0,0
0,1,0,0
2,9,1,6
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,3619,72380
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
7,12,1,40
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
1,1,1517,30340
0,1,0,0
1,2,0,0
10,6,3,3418
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
1,1,1,8
2,2,1,12
12,1,0,7
1,2,1,24
0,1,0,0
0,2,0,0
1,1,1,8
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,9,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
1,1,1,12
2,2,1,6
1,5,1,12
0,1,0,0
124,6,38337,10155891
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,88
1,2,1,24
0,1,0,0
43,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,1,12
18,5,64004,15260983
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
1,1,4212,84240
0,1,0,0
1,1,1,88
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
2,4,1,6
0,2,0,0
1,2,1,32
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,1,0,0
0,1,0,0
1,2,23,552
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,5,1,12
0,1,0,0
0,1,0,0
0,2,0,0
1,2,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,5,6116,318032
0,1,0,0
